IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
118.35.196.178,18066,443,true,FUK,Asia Pacific,JP,Fukuoka,261,1.03
121.160.125.55,12556,443,true,HKG,Asia Pacific,HK,Hong Kong,159,0.98
5.180.98.146,22827,443,true,HKG,Asia Pacific,HK,Hong Kong,68,0.92
220.120.44.95,12421,443,true,HKG,Asia Pacific,HK,Hong Kong,292,0.83
210.99.119.3,12359,443,true,HKG,Asia Pacific,HK,Hong Kong,207,0.82
154.198.227.86,50006,443,true,HKG,Asia Pacific,HK,Hong Kong,79,0.72
14.198.165.47,12424,443,true,HKG,Asia Pacific,HK,Hong Kong,68,0.62
121.170.103.94,10066,443,true,FUK,Asia Pacific,JP,Fukuoka,153,0.59
175.215.205.40,12121,443,true,FUK,Asia Pacific,JP,Fukuoka,99,0.57
210.99.119.3,12549,443,true,FUK,Asia Pacific,JP,Fukuoka,167,0.50
156.251.172.185,587,443,true,HKG,Asia Pacific,HK,Hong Kong,79,0.47
152.32.215.105,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,61,0.45
119.207.56.167,24808,443,true,HKG,Asia Pacific,HK,Hong Kong,164,0.43
149.104.30.232,2086,443,true,HKG,Asia Pacific,HK,Hong Kong,68,0.43
102.134.55.53,20082,443,true,HKG,Asia Pacific,HK,Hong Kong,73,0.43
8.217.122.24,8443,443,true,HKG,Asia Pacific,HK,Hong Kong,60,0.39
119.204.37.43,12316,443,true,HKG,Asia Pacific,HK,Hong Kong,146,0.33
47.239.125.132,443,443,true,HKG,Asia Pacific,HK,Hong Kong,65,0.32
47.76.237.145,8005,443,true,HKG,Asia Pacific,HK,Hong Kong,64,0.30
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,63,0.29
23.97.68.108,443,443,true,HKG,Asia Pacific,HK,Hong Kong,128,0.26
121.159.68.210,12088,443,true,NRT,Asia Pacific,JP,Tokyo,145,0.24
118.42.233.191,31822,443,true,HKG,Asia Pacific,HK,Hong Kong,202,0.23
121.145.253.124,30011,443,true,HKG,Asia Pacific,HK,Hong Kong,304,0.23
38.55.198.92,443,443,true,HKG,Asia Pacific,HK,Hong Kong,71,0.22
210.99.119.3,10005,443,true,HKG,Asia Pacific,HK,Hong Kong,163,0.21
61.85.1.77,12389,443,true,HKG,Asia Pacific,HK,Hong Kong,399,0.20
112.186.236.43,16993,443,true,HKG,Asia Pacific,HK,Hong Kong,323,0.20
125.134.6.129,16040,443,true,FUK,Asia Pacific,JP,Fukuoka,96,0.18
121.143.196.49,30303,443,true,NRT,Asia Pacific,JP,Tokyo,204,0.18
138.2.113.148,888,80,false,HKG,Asia Pacific,HK,Hong Kong,224,0.17
220.79.29.86,12404,443,true,HKG,Asia Pacific,HK,Hong Kong,369,0.16
158.101.140.206,443,443,true,HKG,Asia Pacific,HK,Hong Kong,220,0.12
14.47.175.40,12152,443,true,FUK,Asia Pacific,JP,Fukuoka,137,0.10
220.79.29.86,12484,443,true,HKG,Asia Pacific,HK,Hong Kong,334,0.09
59.19.192.51,18888,443,true,FUK,Asia Pacific,JP,Fukuoka,136,0.07
185.106.176.128,443,443,true,HKG,Asia Pacific,HK,Hong Kong,71,0.03
47.239.212.52,443,443,true,HKG,Asia Pacific,HK,Hong Kong,67,0.02
43.155.30.252,443,443,true,HKG,Asia Pacific,HK,Hong Kong,63,0.01
59.19.192.51,18051,443,true,HKG,Asia Pacific,HK,Hong Kong,221,0.00
222.104.2.192,10027,443,true,HKG,Asia Pacific,HK,Hong Kong,148,0.00
176.119.150.121,1443,443,true,NRT,Asia Pacific,JP,Tokyo,134,0.00
8.218.128.140,443,443,true,HKG,Asia Pacific,HK,Hong Kong,63,0.00
206.237.1.59,11563,443,true,HKG,Asia Pacific,HK,Hong Kong,206,0.00
