IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
121.150.43.130,12508,443,true,ICN,Asia Pacific,KR,Seoul,85,1.35
59.29.143.247,35322,443,true,ICN,Asia Pacific,KR,Seoul,160,0.80
221.155.140.147,21304,443,true,ICN,Asia Pacific,KR,Seoul,101,0.70
220.125.26.232,40005,80,false,ICN,Asia Pacific,KR,Seoul,158,0.64
218.152.153.20,18012,443,true,ICN,Asia Pacific,KR,Seoul,97,0.55
220.124.109.15,50008,443,true,ICN,Asia Pacific,KR,Seoul,85,0.54
220.120.139.237,10250,443,true,ICN,Asia Pacific,KR,Seoul,159,0.53
118.32.91.200,32800,443,true,ICN,Asia Pacific,KR,Seoul,179,0.51
119.197.63.110,50000,443,true,ICN,Asia Pacific,KR,Seoul,94,0.47
121.163.189.187,10181,443,true,ICN,Asia Pacific,KR,Seoul,178,0.43
175.210.186.14,12562,443,true,ICN,Asia Pacific,KR,Seoul,159,0.43
121.178.230.168,12141,443,true,ICN,Asia Pacific,KR,Seoul,101,0.41
211.224.30.213,50002,443,true,ICN,Asia Pacific,KR,Seoul,167,0.41
121.177.172.206,40005,80,false,ICN,Asia Pacific,KR,Seoul,168,0.41
183.97.196.49,20184,443,true,ICN,Asia Pacific,KR,Seoul,163,0.41
168.126.205.5,40005,80,false,ICN,Asia Pacific,KR,Seoul,118,0.40
14.35.26.86,12133,443,true,ICN,Asia Pacific,KR,Seoul,163,0.38
112.166.190.53,50000,443,true,ICN,Asia Pacific,KR,Seoul,99,0.38
115.22.115.218,40005,80,false,ICN,Asia Pacific,KR,Seoul,191,0.38
210.123.143.214,11082,443,true,ICN,Asia Pacific,KR,Seoul,158,0.38
211.104.223.184,12197,443,true,ICN,Asia Pacific,KR,Seoul,167,0.37
221.164.248.207,40005,80,false,ICN,Asia Pacific,KR,Seoul,227,0.37
222.104.130.83,50000,443,true,ICN,Asia Pacific,KR,Seoul,158,0.34
14.39.99.235,50000,443,true,ICN,Asia Pacific,KR,Seoul,179,0.33
175.201.95.5,50008,443,true,ICN,Asia Pacific,KR,Seoul,179,0.30
112.162.240.23,31001,443,true,ICN,Asia Pacific,KR,Seoul,178,0.30
121.147.108.106,16020,443,true,ICN,Asia Pacific,KR,Seoul,178,0.30
121.177.244.57,50008,443,true,ICN,Asia Pacific,KR,Seoul,95,0.29
61.85.83.163,50000,443,true,ICN,Asia Pacific,KR,Seoul,178,0.27
59.27.113.110,50000,443,true,ICN,Asia Pacific,KR,Seoul,179,0.27
118.41.42.210,40005,80,false,ICN,Asia Pacific,KR,Seoul,216,0.25
61.81.13.82,50008,443,true,ICN,Asia Pacific,KR,Seoul,88,0.19
220.122.115.73,50000,443,true,ICN,Asia Pacific,KR,Seoul,94,0.19
211.217.188.169,50000,443,true,ICN,Asia Pacific,KR,Seoul,160,0.18
61.111.250.34,443,443,true,ICN,Asia Pacific,KR,Seoul,88,0.10
